module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
Programming with neural nets,10-I=STM-162-m01,holder of the Chair of Computer Science IX,Institute of Computer Science,5,numerical grade,,,,,"Overview over NN, implementation of important NN-architectures like FCN, CNN and LSTMs, practical example for 
NN-architectures, among others in the area of image and language processing.","Knowledge about possible applications and limitations of NN, for important architectures (eg. FCN, CNN, LSTM) 
and how they are implemented in NN-tools like Tensorflow/Keras, ability to program network structures from lite-
rature, to prepare data and solve concrete tasks for NN.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): 
IT,KI,HCI,GE"
NLP and Text Mining,10-I=SB-212-m01,holder of the Chair of Computer Science VI,Institute of Computer Science,5,numerical grade,,,,,"Foundations in the following areas: definition of NLP and text mining, properties of text, sentence boundary de-
tection, tokenisation, collocation, N-gram models, morphology, hidden Markov models for tagging, probabili-
stic parsing, word sense disambiguation, term extraction methods, information extraction, sentiment analysis. 
The students possess theoretical and practical knowledge about typical methods and algorithms in the area of 
text mining and language processing mostly for English. They are able to solve problems through the methods 
taught. They have gained experience in the application of text mining algorithms.","The students possess theoretical and practical knowledge about typical methods and algorithms in the area of 
text mining and language processing. They are able to solve practical problems with the methods acquired in 
class. They have gained experience in the application of text mining algorithms.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2016)
Master's degree (1 major) Computer Science (2017)
Master's degree (1 major) Computer Science (2018)
Master's degree (1 major) Computational Mathematics (2019)
Master's degree (1 major) Mathematics (2019)
Master's teaching degree Gymnasium MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)



Supplementary course MINT Teacher Education PLUS, Elite Network Bavaria (ENB) (2020)
Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Computational Mathematics (2022)
Master's degree (1 major) Mathematics (2022)
Master's degree (1 major) Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): AT, 
IT, HCI."
Systems Benchmarking,10-xtAI=CV-202-m01,holder of the Chair of Computer Science IX,Institute of Computer Science,5,numerical grade,,,,,--,--,V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)
Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Aerospace Computer Science (2021)
Master's degree (1 major) Computer Science (2023)
Master's degree (1 major) Aerospace Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):
SE,IT,ES,HCI,GE"
Computer Vision,10-I=IP-222-m01,Dean of Studies Informatik (Computer Science),Institute of Computer Science,5,numerical grade,,,,,"The lecture provides knowledge about current methods and algorithms in the field of computer vision. Important 
basics as well as the most recent approaches to image representation, image processing and image analysis are 
taught. Actual models and methods of machine learning as well as their technical backgrounds are presented 
and their respective applications in image processing are shown.","Students have fundamental knowledge of problems and techniques in the field of computer vision and are able 
to independently identify and apply suitable methods for concrete problems.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)
Master's degree (1 major) Computer Science (2021)
Master's degree (1 major) Computer Science (2023)
Master's degree (1 major) Aerospace Computer Science (2023)",--
Image Processing and Computational Photography,10-I=MNLP-232-m01,--,Institute of Computer Science,5,numerical grade,,,,,--,--,"V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) eXtended Artificial Intelligence (xtAI) (2020)
Master's degree (1 major) Computer Science (2023)
Master's degree (1 major) Aerospace Computer Science (2023)",--
Multilingual NLP,10-I=SNA-232-m01,--,Institute of Computer Science,5,numerical grade,,,,,--,--,"V (2) + Ü (2)
Module taught in: German and/or English",,--,,150 h,--,--,Master's degree (1 major) Computer Science (2023),--
Statistical Network Analysis,10-I=OR-232-m01,holder of the Chair of Computer Science XV,Institute of Computer Science,5,numerical grade,,,,,"Networks matter! This holds for technical infrastructures like communication or transportation networks, for in-
formation systems and social media in the World Wide Web, but also for various social, economic and biologi-
cal systems. What can we learn from data that capture the interaction topology of such complex systems? What 
is the role of individual nodes and how can we discover significant patterns in the structure of networks? How do 
these structures influence dynamical process like diffusion or the spreading of epidemics? Which are the most 
influential actors in a social network? And how can we analyze time series data on systems with dynamic net-
work topologies?
Addressing those questions, the course combines a series of lectures -- which introduce fundamental concepts 
for the statistical modelling of complex networks -- with weekly exercises that show how we can apply them to 
practical network analysis tasks. Topics covered include foundations of graph theory, centrality and modulari-
ty measures, aggregate statistical characteristics of large networks, random graphs and statistical ensembles 
of complex networks, generating function analysis of expected graph properties, scale-free networks, stocha-
stic dynamics in networks, spectral analysis, as well as the modelling of time-varying networks. The course ma-
terial consists of annotated slides for lectures as well as a accompanying git-Repository of jupyter notebooks, 
which implement and validate the theoretical concepts covered in the lectures. Students can test and deepen 
their knowledge through weekly exercise sheets. The successful completion of the course requires to pass a final 
written exam.","The course will equip participants with statistical network analysis techniques that are needed for the data-dri-
ven modelling of complex technical, social, and biological systems. Students will understand how we can quan-
titatively model the topology of networked systems and how we can detect and characterize topological pat-
terns. Participants will learn how to use analytical methods to make statements about the expected properties of 
very large networks that are generated based on different stochastic models. They further gain an analytical un-
derstanding of how the structure of networks shapes dynamical processes, how statistical fluctuations in degree 
distributions influence the robustness of systems, and how emergent network features emerge from simple ran-
dom processes.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2023)
Master's degree (1 major) Aerospace Computer Science (2023)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits):


IN"
Operations Research,10-I=MLN1-232-m01,--,Institute of Computer Science,5,numerical grade,,,,,--,--,"V (2) + Ü (2)
Module taught in: German and/or English",,--,,150 h,--,--,Master's degree (1 major) Computer Science (2023),"Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): IN"
Machine Learning for Networks 1,10-I=DM-232-m01,--,Institute of Computer Science,5,numerical grade,,,,,--,--,"V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,Master's degree (1 major) Computer Science (2023),"Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): 
AT,IT,SE,KI,HCI,IN"
Data Science,12-GPU-192-m01,holder of the Chair of Computer Science IX,Faculty of Business Management and Economics,5,numerical grade,,,,,"Foundations in the following areas: definition of data mining and knowledge discovery in databases, process 
model, relationship to data warehouse and OLAP data preprocessing, data visualisation, unsupervised learning 
methods (cluster- and association methods), supervised learning (e. g. Bayes classification, KNN, decision trees, 
SVM), learning methods for special data types, further learning paradigms.","The students possess a theoretical and practical knowledge of typical methods and algorithms in the area of da-
ta mining and machine learning. They are able to solve practical knowledge discovery problems with the help of 
the knowledge acquired in this course and by using the KDD process. They have acquired experience in the use 
or implementation of data mining algorithms.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Computer Science (2023)
Master's degree (1 major) Aerospace Computer Science (2023)




Compulsory Electives II: Tracks
(40 ECTS credits)
Out of the five tracks, students may select two.





Track 1: Enterprise Systems
(20 ECTS credits)","Focuses available for students of the Master's programme Informatik (Computer Science, 120 ECTS credits): 
IT,KI,HCI,GE,SEC"
Business Software 1: IS-based Enterprise Management,12-M-ERP-192-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"Content:
This module provides students with an overview of the structure of a business information system (SAP Business 
ByDesign) in depth.
Outline of syllabus:
1. Integrated information systems: integration, standard software, system architecture
2. Working with standard business software
3. Consulting in integrated information systems: project management, project organisation, presentation skills
Description:
The lecture will be accompanied by an exercise that will present students with an opportunity to access, in small 
groups, the enterprise resource planning system operated by the Chair in its ERP laboratory and to work with the 
software, dealing with a wide variety of business processes.
If you would like to register for this course, please submit an application to the consultants (cover letter, CV, cer-
tificates; please also specify your degree programme and student ID number).","After completing the course ""Business Software 1"", students will be able to
(i) understand an ERP system in its depth;
(ii) understand the interaction of business processes;
(iii) execute business tasks and processes in an ERP system independently (after participation in the practice 
lessons).",V (2) + Ü (2),,"20 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(2) The remaining places will be allocated to students of other subjects.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)",--
Business Software 2: Enterprise Resource Planning Systems,12-M-ES-161-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,5,numerical grade,,,,,"Content:
This module provides students with an overview of the structure of business information systems in width as 
well as the selection and implementation of business information systems in organisations.
Outline of syllabus:
1. Integrated information systems: integration, standard software, system architectures, operating models
2. Selection of integrated information systems: methods, cost-benefit analysis
3. Implementation of integrated information systems: project management, project organisation, project marke-
ting
The lecture will be accompanied by an exercise that will present students with an opportunity to access, in small 
groups, the enterprise resource planning system operated by the Chair in its ERP laboratory and to work with the 
software, dealing with a wide variety of business processes.","After completing the course ""Business Software 2"", students will be able to
1. differentiate between system architectures and -philosophies;
2. understand the interaction of business processes;
3. come to a selection decision for an ERP system using a structured approach and compare different ERP sy-
stems;
4. execute business tasks and processes in an ERP system independently (after participation in the practice les-
sons).",V (2) + Ü (2),,"20 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(2) The remaining places will be allocated to students of other subjects.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,,--
Advanced Seminar: Enterprise Systems,12-M-DSS-192-m01,Holder of the Chair of Business Management and Business,Faculty of Business Management and Economics,10,numerical grade,,,,,"In this course, students will acquire important knowledge and skills that will enable them to prepare a well-struc-
tured term paper and to present the results of their work with the help of relevant topics in the fields of informati-
on systems and enterprise systems.
Reading:
will vary according to topic","After completing the course ""Enterprise Systems"", students will be able to
1. understand the fundamentals of scientific literature reviews;
2. integrate elaborated content in a scientific thesis;
3. create presentations independently.",S (2),,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,300 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)
Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)



 
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)
exchange program Business Management and Economics (2022)





Track 2: Business Analytics
(20 ECTS credits)",--
Decision Support Systems,12-BI-192-m01,Holder of the Chair of Business Analytics,Faculty of Business Management and Economics,5,numerical grade,,,,,"The course discusses advanced approaches for modelling and solving decision problems in business settings. 
The acquired insights are used to design and implement decision support systems using standard software tools 
(Python).","After successfully completing the course, students should be able to
• Understand the structure of classic business decision problems
• Isolate key elements from general problem descriptions and convert them to quantitative decision models
• Solve  different  classes  of  optimization  problems  (linear,  network,  integer,  multi-objective,  non-linear, 
stochastic)
• Implement decision support systems",V (2) + Ü (2),,"40 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(2) The remaining places will be allocated to students of other subjects.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)



Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)",--
,12-M-BUA-161-m01,Holder of the Chair of Business Analytics,Faculty of Business Management and Economics,5,numerical grade,,,,,"The course provides an overview of the structure and applications of analytical information systems. A special fo-
cus is on individual quantitative methods of data analysis. On the one hand, methods from the areas of data pre-
paration and data manipulation as well as their practical application are introduced. On the other hand, an intro-
duction to methods and the application of machine learning methods for predictive analytics, in particular neural 
networks and deep learning, is given.","The module provides students with knowledge of:
• Data Manipulation
• Data Engineering
• Descriptive Analytics
• Predictive Analytics and Data Mining
• Supervised Learning
• Unsupervised Learning
• Neural Networks and Deep Learning
• Text Mining
• Big Data Technologies",V (2) + Ü (2),,"40 places.
WM1:
Should the number of applications exceed the number of available places, places will be allocated as follows:
(2) The remaining places will be allocated to students of other subjects.
(3) When places are allocated in accordance with (1) and (2) and the number of applications exceeds the number 
of available places, places will be allocated by lot among applicants from this group.",,150 h,--,--,"Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)",--
Business Analytics,12-M-IBS-192-m01,Holder of the Chair of Business Analytics,Faculty of Business Management and Economics,10,numerical grade,,,,,"In this course, students will acquire important knowledge and skills that will enable them to prepare a well-struc-
tured term paper and to present the results of their work with the help of relevant topics in the field of business 
management decision models and methods and their application in the development of decision-support sy-
stems as well as analytical information systems and quantitative methods of data analysis.
Students work on current topics using methods from machine learning, mathematical optimization and simulati-
on.","The module provides students with knowledge of:
• Scientific literature
• Implementation of methods in code
• Integration of developed results in scientific papers
• Creating presentations and lectures",S (2),,"20 places. (1) Should the number of applications exceed the number of available places, places will be allocated 
by lot among all applicants irrespective of their subjects. (2) Places on all courses of the module with a restricted 
number of places will be allocated in the same procedure. (3) A waiting list will be maintained and places re-allo-
cated by lot as they become available.",,300 h,--,--,"Master's degree (1 major) Economathematics (2016)
Master's degree (1 major) Business Management (2015)
Master's degree (1 major) China Business and Economics (2016)



Master's degree (1 major) International Economic Policy (2015)
Master's degree (1 major) China Language and Economy (2016)
Master's degree (1 major) Management (2018)
Master's degree (1 major) China Business and Economics (2019)
Master's degree (1 major) China Language and Economy (2019)
Master's degree (1 major) China Business and Economics (2021)
Master's degree (1 major) China Language and Economy (2021)
Master's degree (1 major) Economathematics (2021)
Master's degree (1 major) Management (2022)
Master's degree (1 major) Economathematics (2022)





Track 3: Electronic Business
(20 ECTS credits)",--
