module title,abbreviation,module coordinator,module offered by,ects,method of grading,completion of modules,duration,module level,other prerequisites,contents,intended learning outcomes,courses,method of assessment,allocation of places,additional information,workload,teaching cycle,referred to in lpo i,module appears in,addititional information
"Coordination, Budgeting and Incentives in Organizations",12-M-MADM-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module focuses on accounting-based instruments to control behavior in decentralized enterprises. The 
course first discusses the role of accounting in the context of decision-making and behavioral controlling as well 
as informational analyses. Afterwards, the most common instruments of behavioral controlling (budgeting, va-
lue-oriented management, transfer prices) are discussed with regard to theory and practice.","This module aims to provide knowledge in the context of behavioral control in enterprises. Knowledge about re-
quirements on instruments used for behavioral control are discussed and competences for deployment, struc-
ture and development of coordination tools are provided.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Managerial Analytics & Decision Making,12-M-MIK-182-m01,"Holder of the Chair of Logistics and Quantitative Methods 
in Business Administration",Faculty of Business Management and Economics,5,numerical grade,,,,,"The course ""Managerial Analytics & Decision Making"" discusses quantitative methods to structure and solve 
a diverse set of management problems and demonstrates the application of modern methods with the help of 
multiple case studies.","After completing this course students can
(i) better understand and structure problems;
(ii) apply important theoretical and empirical frameworks to practical problems that evaluate good and bad deci-
sion making;
(iii) implement advanced analytical methods to support decision making under risk.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Microeconometrics,12-M-OE1-182-m01,Holder of the Chair of Econometrics,Faculty of Business Management and Economics,5,numerical grade,,,,,"The course teaches basics, methods and concepts for the analysis of individual data. The scaling of observed 
data is adequately addressed. The maximum likelihood method, which is important for this type of data, is ex-
plained in detail.
Outline
What is microeconometrics?
Models for qualitatively dependent variables
Models for limited dependent variables
Time-dependent models
References
Greene, W. H.: Econometric Analysis, Philip Alan.
Ronning, G.: Microeconometrics, Springer Verlag.
Verbeek, M.: Modern Econometrics, Wiley.
Winkelmann, R., Boes, S.: Analysis of Microdata, Springer Verlag.","Students have significant knowledge of the maximum likelihood method and the most important models for 
qualitatively and limited dependent variables. They can autonomously perform estimations with statistic pro-
grams such as R and interpret the results meaningfully",Ü (2) + Ü (2),,--,,150 h,--,"--

data record Master (120 ECTS) Management - 2018","Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",Research track module in Master's programme IEP
Econometrics 1,12-M-OE2-182-m01,Holder of the Chair of Econometrics,Faculty of Business Management and Economics,5,numerical grade,,,,,"Description:
This module deals with the basic concept and methodology of the ordinary least squares (OLS) regression mo-
del. In particular, model assumptions and properties are discussed and formally motivated. In addition, the mo-
dule examines linear restrictions on the model's explanatory variables as well as dummy variables and introdu-
ces tests to verify simple and multiple linear restrictions.
Linear algebra is used as formal aid.
Outline of syllabus:
1. Random variables
2. Important distributions
3. Point estimates
4. Simple linear regression model
5. Model assumptions
6. Model properties
7. Simple hypothesis tests
8. Multiple linear regression model
9. Linear restrictions
10. Dummy variables
11. Multiple hypothesis tests","The students acquire knowledge of the basics, concepts and methods used in the classical linear regression mo-
del and understand the role of econometrics in science and data analysis. In particular, they learn how to analy-
tically derive, calculate and interpret the coefficients, standard errors and p-values of a classic regression output 
of the multiple regression model. Furthermore, they are able to formally state and motivate the assumptions and 
properties of OLS and know how to deal with transformed and dummy variables. Additionally, students will be 
able to test multiple linear restrictions on the parameters and will be able to apply these tests to real economic, 
business and social science questions.
The competences acquired in this course serve as a prerequisite for ""Econometrics II"", ""Econometrics III"", ""Micro-
econometrics"" und ""Financial Econometrics"".","V (2) + Ü (2)
Module taught in: German (winter semester), English (summer semester)",,"--


data record Master (120 ECTS) Management - 2018


 
 
Management",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Econometrics 2,12-M-OE3-182-m01,Holder of the Chair of Econometrics,Faculty of Business Management and Economics,5,numerical grade,,,,,"Description:
This module deals with the basics, concepts and methods of the generalized least squares (GLS) framework. 
Partly as a motivation for the GLS model and partly for its own right, different specification and data problems as 
well as violations of model assumptions of the OLS estimator (as introduced in ""Ökonometrie I"" (""Econometrics 
I"")) are discussed. This includes multicollinearity, a test for structural breaks, heteroskedastiticy and autocorrela-
tion.
Linear algebra is used as formal aid.
Syllabus:
1. Specification analysis
2. Multicollinearity
3. Heteroskedastiticy
4. Autocorrelated disruptive terms
5. Generalized least squares (GLS)","Students acquire essential knowledge of the fundamentals, methods and concepts for estimating the generali-
zed linear regression model (GLS) and can apply and interpret it. They are sensitized for specification problems, 
data problems and violations of the assumptions of the classical linear model (OLS) in order to be able to reco-
gnize, to assess and therefore adequately deal with these problems in theory and practice. This enables them 
to critically assess the use of the estimation methods in scientific work, to work independently on adequate im-
plementation of empirical analyzes and to answer selected (economic) scientific issues if available data with the 
above-mentioned involved problems. The competences acquired in this course serve as a prerequisite for ""Eco-
nometrics III"", ""Microeconometrics"" und ""Financial Econometrics"".",V (2) + Ü (2),,--,,150 h,"--


data record Master (120 ECTS) Management - 2018",--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",Research track module in Master's programme IEP
Econometrics 3,12-M-SDC-182-m01,Holder of the Chair of Econometrics,Faculty of Business Management and Economics,5,numerical grade,,,,,"Description:
This module deals with advanced econometric methods and concepts based on the classical and the generali-
zed least squares estimator discussed in Ökonometrie I and II (Econometrics I and II). In particular, this includes 
the instrumental variable (IV) estimator, the generalized method of moments (GMM) estimator, distributed lag 
models as well as basic methods and concepts used in uni- and multivariate econometric time series analysis, 
including (non)stationarity, integration and cointegration.
Linear algebra is used as formal aid.
Syllabus:
1. Error-in-variables
2. IV estimation
3. Generalized least squares estimation
4. Distributed lag models
5. Stationary uni- and multivariate processes
6. Deterministic and stochastic trends
7. Integrated and cointegrated processes","The students acquire thorough understanding of advanced methods and concepts in econometrics. They get fa-
miliarized with diverse error-in-variables issues and will be capable of handling them appropriately. After the 
course, students understand the generalized method of moments (GMM) and the instrumental variable (IV) esti-
mator to the extent that they can discuss their pros and cons, apply these to selected questions in quantitative 
economics and understand scientific papers using these methods. Furthermore, they become acquainted with 
selected time series issues, such as distributed lag models, non-stationarity, spurious correlation and cointegra-
ted processes, enabling them to conduct a comprehensive time series analysis. In brief, the course enables stu-
dents to apply the above mentioned methods and concepts to real life questions, assess their appropriateness 
and address their theoretical and practical benefits and shortcomings",V (2) + Ü (2),,--,,"150 h


data record Master (120 ECTS) Management - 2018",--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",Research track module in Master's programme IEP
Strategic Decisions and Competition,12-M-UGF2-182-m01,Holder of the Chair of Industrial Economics,Faculty of Business Management and Economics,5,numerical grade,,,,,"1. Strategic situations and decision making
2. Analyzing strategic situations with game theory
1. Noncooperative simultaneous move games
2. Nash equilibrium
3. Models of oligopoly markets
3. Dynamic Games
1. Two(-multi) stage games and subgame perfect equilibrium
2. Role of commitment in dynamic situations
3. Models of advertising
4. Wage bargaining and unions
4. Repeated Games
1. Emergence of coordination in long interactions
2. Collusion between competing firms
3. Time consistent monetary policy
5. Static games of incomplete Information
1. Bayesian Nash equilibrium
2. Auctions
6. Dynamic games of incomplete information
1. Moral hazard and nonlinear pricing
2. Perfect Bayesian equilibrium
3. Signalling games
4. Job-market signalling
5. Corporate investment and capital structure","After successful completion of this class, the students should be familiar with economic models that can be 
used to shape managerial strategy and aid in making decisions in strategic situations. Especially, by making use 
of simple two stage games, they should be able to formulate dynamic policies in a wide variety of strategic situa-
tions. The students will acquire an intuitive understanding of the underlying economic mechanisms which emer-
ge from the analysis of game theoretic models for a wide variety of strategic situations arising in industrial eco-
nomics, marketing, organization, finance, trade and labor. Moreover, they will acquire skills which enable them 
to make predictions in strategic situations by making use of simple mathematical models. By means of comple-
ting case based exercises, they will learn to transform real life business situations to an appropriate economic 
model. Based on an analysis of this model, they will be able to devise optimal strategies and derive the corre-
sponding managerial implications.


data record Master (120 ECTS) Management - 2018


Management

The course will be taught in English.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Corporate Strategy,12-M-UGF3-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This theory-led and application-oriented module provides you with critical knowledge and skills related to cor-
porate strategy—essential for anyone aspiring to take on leadership roles in their future career, may it be in the 
private or public sector. The module goes beyond basic knowledge about strategic management provided by ba-
chelor-level modules.
(1) Developing strategies in pursuit of competitive advantage
(2) Corporate diversification
(3) Vertical integration and outsourcing
(4) Mergers & acquisitions
(5) Dynamic strategies
(6) Cooperative strategies
(7) Corporate spin-offs and spin-outs
(8) Internationalization strategies (I)
(9) Internationalization strategies (II)
(10) Strategic change
(11) Corporate strategies and new technologies
(12) Corporate governance and corporate social responsibility
(13) Corporate communication and crisis management
(14) Wrap-up and Q&A","Educational aims
• Clarify the role of corporate strategy
• Explain theoretical concepts and mechanisms behind corporate strategy
• Enable students to critically appraise alternative approaches to corporate strategy
• Enable students to evaluate the boundaries and risks of corporate strategy
Learning outcomes
On successful completion of this module students will be able to:
• Assess the role of corporate strategy for creating and sustaining competitive advantage
• Create and evaluate concepts related to corporate strategy
• Make judgements about the organizational and managerial implications of corporate strategy


data record Master (120 ECTS) Management - 2018

Management

• Systematically choose between different routes of action","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Entrepreneurship,12-M-CHA-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module provides an introduction into digital entrepreneurship and digital transformation. (1) Introduction 
(2) Digital business models (3) Identifying and exploiting opportunities for digital entrepreneurship (4) Strategies 
for creating competitive advantage in digital entrepreneurship (5) Digital marketing for entrepreneurs (6) Crowd-
funding for entrepreneurs (7) Design thinking (8) Lean startup (9) Platform ecosystems and online communities 
(10) Digital strategy and digital transformation (11) The agile organization (12) Crowdsourcing (13) Cyberfraud (14) 
Wrap-up and Q&A","Educational aims: Clarify the role of digital entrepreneurship and digital transformation. Explain theoretical con-
cepts and mechanisms behind digital entrepreneurship and digital transformation. Enable students to critically 
appraise alternative approaches to digital entrepreneurship and digital transformation. Enable students to eva-
luate the boundaries and risks of digital entrepreneurship and digital transformation
Learning outcomes: On successful completion of this module students will be able to (1) Assess the role of di-
gital entrepreneurship and digital transformation for creating and sustaining competitive advantage, (2) Crea-
te and evaluate concepts related to digital entrepreneurship and digital transformation, (3) Make judgements 
about the organizational and managerial implications of digital entrepreneurship and digital transformation, (4) 
Systematically choose between different routes of action.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Human-Computer-Interaction (2018), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Human-Computer-Interaction (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Change Management,12-M-TENT-182-m01,"Holder of the Chair of Business Management, Management 
Accounting and Control",Faculty of Business Management and Economics,5,numerical grade,,,,,"Within the module, theoretical basics of change management are covered. In addition, we present and jointly 
analyze existing change projects in detail. We try to answer related questions, too. For example, the module dis-
cusses how to involve stakeholders in change, what motivates them to embrace change, and whether participa-
tion is a universal principle. The module covers projects like merging two departments, restarting a department 
with team building, conducting an employee survey, or developing a new mission statement. The majority of the 
projects are taken from the social sector, but can be transferred to industry and SMEs.","After participating the lecture, students will be able to understand the occurrence of resistance and massive 
emotional reactions in change processes. Change processes can be critically analyzed and the use of typical in-
struments in change processes can be questioned. Students are able to identify the typical pitfalls and hurdles 
in these processes and are able to use their knowledge for own future projects as well as to create their own so-
lutions in change processes.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Topics in Entrepreneurship,12-M-THRM-182-m01,Holder of the Chair of Entrepreneurship and Strategy,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module serves the crediting of achievements
• from domestic or foreign universities
• of short-term additional offers
• Offers of new chairs before they are included in the subject-specific regulations.
Credit eligibility is provided by the chair holders.","Due to the crediting of different modules, no competence description can be made.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Topics in HRM and Organization,12-M-TLE-182-m01,"Holder of the Chair of Human Resource Management and 
Organisation",Faculty of Business Management and Economics,5,numerical grade,,,,,This is a dummy module for not regular lectures.,"Due to the crediting of different modules, no competence description can be made.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Topics in Labour Economics,12-M-TMA-182-m01,Holder of the Chair of Labor Economics,Faculty of Business Management and Economics,5,numerical grade,,,,,"This module serves the purpose of transferring credits from
• courses taken at other German or non-German universities
• additional courses offered on a short-term basis
• courses offered by new Chairs that are yet to be included in the FSB (subject-specific provisions)
The holders of the respective Chairs will ensure that the courses are eligible for credit transfer.
.","Due to the crediting of different modules, no competence description can be made.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), , data record Master (120 ECTS) Management - 2018, , , Management",--
Topics in International Marketing,12-M-PMALE1-182-m01,"Dean of the Faculty of Business Management and Econo-
mics",Faculty of Business Management and Economics,5,numerical grade,,,,,"This module serves the purpose of transferring credits from
• courses taken at other German or non-German universities
• additional courses offered on a short-term basis
• courses offered by new Chairs that are yet to be included in the FSB (subject-specific provisions)
The holders of the respective Chairs will ensure that the courses are eligible for credit transfer.","As a result of accrediting multiple kinds of modules, a description of acquired skills cannot be given.",V (2) + Ü (2),,--,,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Project Module Management & Leadership I,12-M-PMALE2-182-m01,"Dean of the Faculty of Business Management and Econo-
mics",Faculty of Business Management and Economics,10,numerical grade,,,,,This module is designed to provide credit for work completed in project seminars in Management & Leadership.,"As a result of accrediting multiple kinds of modules, a description of acquired skills cannot be given.",V (2) + Ü (2),,--,,300 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Project Module Management & Leadership II,12-M-DM1-182-m01,"Dean of the Faculty of Business Management and Econo-
mics",Faculty of Business Management and Economics,10,numerical grade,,,,,This module is designed to provide credit for work completed in project seminars in Management & Leadership.,"As a result of accrediting multiple kinds of modules, a description of acquired skills cannot be given.",V (2) + Ü (2),,--,,300 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Management (2022), , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing I,12-M-DM2-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Digitalization is rapidly changing our lives, including all types of business relationships. Therefore, new opportu-
nities and approaches have emerged in all areas of the marketing mix: Managers can choose from a wide variety 
of new communication channels, such as social media networks, blogs, or messengers, and can engage in influ-
encer marketing and search engine optimization. They increasingly rely on online customer co-creation or crowd-
sourcing and create a wide variety of new digital products and services, often related to completely new busi-
ness models. Through price crawlers and price setting tools customers‘ price search behaviors have significant-
ly changed, requiring new price setting techniques. Artificial intelligence enables managers to automize and op-
timize many of these marketing processes, thus offering new opportunities and challenges for companies. Over-
all, digital marketing offers a tremendous variety of concepts and approaches to seize respective opportunities 
and deal with related challenges, which will be largely highlighted and discussed in this course.","This course provides a broad overview about these new approaches of digital marketing. It explains the underly-
ing concepts of digital marketing and illustrates these approaches and concepts along numerous case studies. 
After attending this course, students will have a broad as well as in-depth understanding of digital marketing 
and its tools. Morever, they will understand of how to implement these tools successfully in business practice.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Digital Marketing II,12-M-EC1-182-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"Students are required to put themselves in the following business situation:
A large corporation has just recruited you and your team members as the new heads of the marketing depart-
ment in one of the firm’s divisions in order to manage its general and digital marketing activities. Specifically, 
it is your task to manage the corporation’s digital product portfolio, segmentation and positioning as well as its 
marketing mix strategy over a period of 10 years.
Structure of the class:
• Long-term business simulation game (details see below) that students will play in groups
• Lectures and discussion rounds on strategic approaches to succeed over a duration of 10 periods","Studierende lernen in diesem Kurs, zentrale Konzepte des Online- und Offline-Marketings gezielt und bezogen 
auf die jeweilige Unternehmenssituation anzuwenden. Der Kurs bildet somit die Brücke zwischen Theorievermitt-
lung und entsprechende Anwendung in der Unternehmenspraxis.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
E-Commerce I,12-M-NMA-221-m01,"Holder of the Junior Professorship of Digital Marketing and 
E-Commerce",Faculty of Business Management and Economics,5,numerical grade,,,,,"E-commerce is a highly relevant field for almost all types of companies. However, the ecommerce approaches 
and strategies applied by companies differ strongly depending on the respective firm context (e.g., in terms of in-
dustry, types of customers, types of products). In this seminar, students analyze the specific e-commerce strat-
egy of a selected firm. In doing so, they evaluate the strategies’ current and future potential and make suggesti-
ons for improvements and for addressing future trends. Furthermore, each lecture session will contain short pre-
sentations where the students (in groups) will either apply selected lecture topics to real-world business cases 
or present the core aspects of research articles dealing with e-commerce topics in general.","This class enables students to gain insights into real-life e-commerce strategies and to train their abilities in as-
sessing business strategies.","V (2) + Ü (2)
Module taught in: English",,--,,150 h,--,--,"Master's degree (1 major) Business Management (2015), Master's degree (1 major) International Economic Policy (2015), Master's degree (1 major) Management (2018), Master's degree (1 major) International Economic Policy (2018), Master's degree (1 major) China Business and Economics (2019), Master's degree (1 major) China Language and Economy (2019), , , data record Master (120 ECTS) Management - 2018, , Master's degree (1 major) China Business and Economics (2021), Master's degree (1 major) China Language and Economy (2021), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) International Economic Policy (2022), Master's degree (1 major) Management (2022), Master's degree (1 major) Economathematics (2022), exchange program Business Management and Economics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",--
Industrial Management 5,12-M-NMB-221-m01,--,Faculty of Business Management and Economics,5,numerical grade,,,,,--,--,"S (4)
Module taught in: German and/or English",,"20 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(1) Students who already have successfully completed courses offered by the Chair of Business Economics and 
Industrial Management will be given preferential consideration.
(2) Among applicants with the same number of successfully completed modules, places will be allocated accor-
ding to the total number of ECTS credits achieved in courses of BWL und Industriebetriebslehre (Business Econ-
mics and Industrial Management).
(3) Among applicants with the same number of ECTS credits, places will be allocated according to the average 
grade in courses mentioned in (2).
(4) Among applicants with the same average grade, places will be allocated by lot.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) Management (2022), , data record Master (120 ECTS) Management - 2018, , , Master's degree (1 major) Economathematics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",Module can be taught in form of E Learning course or as a block.
Industrial Management 6,12-M-LA-182-m01,--,Faculty of Business Management and Economics,5,numerical grade,,,,,--,--,"S (4)
Module taught in: German and/or English",,"20 places.
Should the number of applications exceed the number of available places, places will be allocated as follows:
(1) Students who already have successfully completed courses offered by the Chair of Business Economics and 
Industrial Management will be given preferential consideration.
(2) Among applicants with the same number of successfully completed modules, places will be allocated accor-
ding to the total number of ECTS credits achieved in courses of BWL und Industriebetriebslehre (Business Econ-
mics and Industrial Management).
(3) Among applicants with the same number of ECTS credits, places will be allocated according to the average 
grade in courses mentioned in (2).
(4) Among applicants with the same average grade, places will be allocated by lot.",,150 h,--,--,"Master's degree (1 major) Management (2018), Master's degree (1 major) Economathematics (2021), Master's degree (1 major) Management (2022), , data record Master (120 ECTS) Management - 2018, , , Master's degree (1 major) Economathematics (2022), , Management, , , data record Master (120 ECTS) Management - 2018, , , Operations & Information Management, (60 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Core, (20 ECTS credits), , Management, , , data record Master (120 ECTS) Management - 2018, , , Management",Module can be taught in form of E Learning course or as a block.
